municipi,districte,seccio,mundissec11,codsecINE 10
80193,3,42,08019303042,0801903042
80193,3,43,08019303043,0801903043
80193,3,44,08019303044,0801903044
80193,3,45,08019303045,0801903045
80193,3,46,08019303046,0801903046
80193,3,47,08019303047,0801903047
80193,3,48,08019303048,0801903048
80193,3,49,08019303049,0801903049
80193,3,50,08019303050,0801903050
80193,3,51,08019303051,0801903051
80193,3,52,08019303052,0801903052
80193,3,53,08019303053,0801903053
80193,3,54,08019303054,0801903054
80193,3,55,08019303055,0801903055
80193,3,56,08019303056,0801903056
80193,3,57,08019303057,0801903057
80193,3,58,08019303058,0801903058
80193,3,59,08019303059,0801903059
80193,3,60,08019303060,0801903060
80193,3,61,08019303061,0801903061
80193,3,62,08019303062,0801903062
80193,3,63,08019303063,0801903063
80193,3,64,08019303064,0801903064
80193,3,65,08019303065,0801903065
80193,3,66,08019303066,0801903066
80193,3,67,08019303067,0801903067
80193,3,68,08019303068,0801903068
80193,3,69,08019303069,0801903069
80193,3,70,08019303070,0801903070
80193,3,71,08019303071,0801903071
80193,3,72,08019303072,0801903072
80193,3,73,08019303073,0801903073
80193,3,74,08019303074,0801903074
80193,3,75,08019303075,0801903075
80193,3,76,08019303076,0801903076
80193,3,77,08019303077,0801903077
80193,3,78,08019303078,0801903078
80193,3,79,08019303079,0801903079
80193,3,80,08019303080,0801903080
80193,3,81,08019303081,0801903081
80193,3,82,08019303082,0801903082
80193,3,83,08019303083,0801903083
80193,3,84,08019303084,0801903084
80193,3,85,08019303085,0801903085
80193,3,86,08019303086,0801903086
80193,3,87,08019303087,0801903087
80193,3,88,08019303088,0801903088
80193,3,89,08019303089,0801903089
80193,3,90,08019303090,0801903090
80193,3,91,08019303091,0801903091
80193,3,92,08019303092,0801903092
80193,3,93,08019303093,0801903093
80193,3,94,08019303094,0801903094
80193,3,95,08019303095,0801903095
80193,3,96,08019303096,0801903096
80193,3,97,08019303097,0801903097
80193,3,98,08019303098,0801903098
80193,3,99,08019303099,0801903099
80193,3,100,08019303100,0801903100
80193,3,101,08019303101,0801903101
80193,3,102,08019303102,0801903102
80193,3,103,08019303103,0801903103
80193,3,104,08019303104,0801903104
80193,3,105,08019303105,0801903105
80193,3,106,08019303106,0801903106
80193,3,107,08019303107,0801903107
80193,3,108,08019303108,0801903108
80193,3,109,08019303109,0801903109
80193,3,110,08019303110,0801903110
80193,3,111,08019303111,0801903111
80193,3,112,08019303112,0801903112
80193,3,113,08019303113,0801903113
80193,3,114,08019303114,0801903114
80193,3,211,08019303211,0801903211
80193,3,212,08019303212,0801903212
80193,3,213,08019303213,0801903213
80193,4,1,08019304001,0801904001
80193,4,2,08019304002,0801904002
80193,4,3,08019304003,0801904003
80193,4,4,08019304004,0801904004
80193,4,5,08019304005,0801904005
80193,4,6,08019304006,0801904006
80193,4,7,08019304007,0801904007
80193,4,8,08019304008,0801904008
80193,4,9,08019304009,0801904009
80193,4,10,08019304010,0801904010
80193,4,11,08019304011,0801904011
80193,4,12,08019304012,0801904012
80193,4,13,08019304013,0801904013
80193,4,14,08019304014,0801904014
80193,4,15,08019304015,0801904015
80193,4,16,08019304016,0801904016
80193,4,17,08019304017,0801904017
80193,4,18,08019304018,0801904018
80193,4,19,08019304019,0801904019
80193,4,20,08019304020,0801904020
80193,4,21,08019304021,0801904021
80193,4,22,08019304022,0801904022
80193,4,23,08019304023,0801904023
80193,4,24,08019304024,0801904024
80193,4,25,08019304025,0801904025
80193,4,26,08019304026,0801904026
80193,4,27,08019304027,0801904027
80193,4,28,08019304028,0801904028
80193,4,29,08019304029,0801904029
80193,4,30,08019304030,0801904030
80193,4,31,08019304031,0801904031
80193,4,32,08019304032,0801904032
80193,4,33,08019304033,0801904033
80193,4,34,08019304034,0801904034
80193,4,35,08019304035,0801904035
80193,4,36,08019304036,0801904036
80193,4,37,08019304037,0801904037
80193,4,38,08019304038,0801904038
80193,4,39,08019304039,0801904039
80193,4,40,08019304040,0801904040
80193,4,41,08019304041,0801904041
80193,4,42,08019304042,0801904042
80193,4,43,08019304043,0801904043
80193,4,44,08019304044,0801904044
80193,4,45,08019304045,0801904045
80193,4,46,08019304046,0801904046
80193,4,47,08019304047,0801904047
80193,4,48,08019304048,0801904048
80193,4,49,08019304049,0801904049
80193,4,50,08019304050,0801904050
80193,4,51,08019304051,0801904051
80193,4,52,08019304052,0801904052
80193,4,53,08019304053,0801904053
80193,4,54,08019304054,0801904054
80193,4,55,08019304055,0801904055
80193,4,56,08019304056,0801904056
80193,4,84,08019304084,0801904084
80193,5,1,08019305001,0801905001
80193,5,2,08019305002,0801905002
80193,5,3,08019305003,0801905003
80193,5,4,08019305004,0801905004
80193,5,5,08019305005,0801905005
80193,5,6,08019305006,0801905006
80193,5,7,08019305007,0801905007
80193,5,8,08019305008,0801905008
80193,5,9,08019305009,0801905009
80193,5,10,08019305010,0801905010
80193,5,11,08019305011,0801905011
80193,5,12,08019305012,0801905012
80193,5,13,08019305013,0801905013
80193,5,14,08019305014,0801905014
80193,5,15,08019305015,0801905015
80193,5,16,08019305016,0801905016
80193,5,17,08019305017,0801905017
80193,5,18,08019305018,0801905018
80193,5,19,08019305019,0801905019
80193,5,20,08019305020,0801905020
80193,5,21,08019305021,0801905021
80193,5,22,08019305022,0801905022
80193,5,23,08019305023,0801905023
80193,5,24,08019305024,0801905024
80193,5,25,08019305025,0801905025
80193,5,26,08019305026,0801905026
80193,5,27,08019305027,0801905027
80193,5,28,08019305028,0801905028
80193,5,29,08019305029,0801905029
80193,5,30,08019305030,0801905030
80193,5,31,08019305031,0801905031
80193,5,32,08019305032,0801905032
80193,5,33,08019305033,0801905033
80193,5,34,08019305034,0801905034
80193,5,35,08019305035,0801905035
80193,5,36,08019305036,0801905036
80193,5,37,08019305037,0801905037
80193,5,38,08019305038,0801905038
80193,5,39,08019305039,0801905039
80193,5,40,08019305040,0801905040
80193,5,41,08019305041,0801905041
80193,5,42,08019305042,0801905042
80193,5,43,08019305043,0801905043
80193,5,44,08019305044,0801905044
80193,5,45,08019305045,0801905045
80193,5,46,08019305046,0801905046
80193,5,47,08019305047,0801905047
80193,5,48,08019305048,0801905048
80193,5,49,08019305049,0801905049
80193,5,50,08019305050,0801905050
80193,5,51,08019305051,0801905051
80193,5,52,08019305052,0801905052
80193,5,53,08019305053,0801905053
80193,5,54,08019305054,0801905054
80193,5,55,08019305055,0801905055
80193,5,56,08019305056,0801905056
80193,5,57,08019305057,0801905057
80193,5,58,08019305058,0801905058
80193,5,59,08019305059,0801905059
80193,5,60,08019305060,0801905060
80193,5,61,08019305061,0801905061
80193,5,62,08019305062,0801905062
80193,5,63,08019305063,0801905063
80193,5,64,08019305064,0801905064
80193,5,65,08019305065,0801905065
80193,5,66,08019305066,0801905066
80193,5,67,08019305067,0801905067
80193,5,68,08019305068,0801905068
80193,5,69,08019305069,0801905069
80193,5,70,08019305070,0801905070
80193,5,71,08019305071,0801905071
80193,5,72,08019305072,0801905072
80193,5,73,08019305073,0801905073
80193,5,74,08019305074,0801905074
80193,5,75,08019305075,0801905075
80193,5,76,08019305076,0801905076
80193,5,77,08019305077,0801905077
80193,5,78,08019305078,0801905078
80193,5,79,08019305079,0801905079
80193,5,80,08019305080,0801905080
80193,5,81,08019305081,0801905081
80193,5,82,08019305082,0801905082
80193,5,83,08019305083,0801905083
80193,5,84,08019305084,0801905084
80193,5,85,08019305085,0801905085
80193,5,86,08019305086,0801905086
80193,5,87,08019305087,0801905087
80193,5,88,08019305088,0801905088
80193,5,89,08019305089,0801905089
80193,5,90,08019305090,0801905090
80193,5,91,08019305091,0801905091
80193,5,92,08019305092,0801905092
80193,5,93,08019305093,0801905093
80193,5,94,08019305094,0801905094
80193,5,95,08019305095,0801905095
80193,5,96,08019305096,0801905096
80193,5,97,08019305097,0801905097
80193,5,98,08019305098,0801905098
80193,6,1,08019306001,0801906001
80193,6,2,08019306002,0801906002
